[2023-05-07 21:19:05,180][root][INFO] - FS-LSTM, run 1/1, train, Epoch 1/100, train RMSE: 0.8092734450409594, duration: 0.2767910957336426s
[2023-05-07 21:19:05,269][root][INFO] - FS-LSTM, run 1/1, train, Epoch 2/100, train RMSE: 0.7987981238345937, duration: 0.08179903030395508s
[2023-05-07 21:19:05,349][root][INFO] - FS-LSTM, run 1/1, train, Epoch 3/100, train RMSE: 0.7874450465467431, duration: 0.07057499885559082s
[2023-05-07 21:19:05,429][root][INFO] - FS-LSTM, run 1/1, train, Epoch 4/100, train RMSE: 0.7747048655436383, duration: 0.07181453704833984s
[2023-05-07 21:19:05,529][root][INFO] - FS-LSTM, run 1/1, train, Epoch 5/100, train RMSE: 0.7595855241659271, duration: 0.09092545509338379s
[2023-05-07 21:19:05,610][root][INFO] - FS-LSTM, run 1/1, train, Epoch 6/100, train RMSE: 0.7407057703731883, duration: 0.07396841049194336s
[2023-05-07 21:19:05,708][root][INFO] - FS-LSTM, run 1/1, train, Epoch 7/100, train RMSE: 0.7172349896871143, duration: 0.08995199203491211s
[2023-05-07 21:19:05,794][root][INFO] - FS-LSTM, run 1/1, train, Epoch 8/100, train RMSE: 0.6911024126462535, duration: 0.07509303092956543s
[2023-05-07 21:19:05,873][root][INFO] - FS-LSTM, run 1/1, train, Epoch 9/100, train RMSE: 0.6660616388554801, duration: 0.07175469398498535s
[2023-05-07 21:19:05,958][root][INFO] - FS-LSTM, run 1/1, train, Epoch 10/100, train RMSE: 0.6439383338422139, duration: 0.0779109001159668s
[2023-05-07 21:19:06,045][root][INFO] - FS-LSTM, run 1/1, train, Epoch 11/100, train RMSE: 0.6246759787283349, duration: 0.07820725440979004s
[2023-05-07 21:19:06,122][root][INFO] - FS-LSTM, run 1/1, train, Epoch 12/100, train RMSE: 0.6078104909414653, duration: 0.07019305229187012s
[2023-05-07 21:19:06,204][root][INFO] - FS-LSTM, run 1/1, train, Epoch 13/100, train RMSE: 0.5929652764828751, duration: 0.07511734962463379s
[2023-05-07 21:19:06,285][root][INFO] - FS-LSTM, run 1/1, train, Epoch 14/100, train RMSE: 0.5798776314046964, duration: 0.07413601875305176s
[2023-05-07 21:19:06,378][root][INFO] - FS-LSTM, run 1/1, train, Epoch 15/100, train RMSE: 0.568355355414745, duration: 0.08521509170532227s
[2023-05-07 21:19:06,460][root][INFO] - FS-LSTM, run 1/1, train, Epoch 16/100, train RMSE: 0.5582444149489862, duration: 0.07491540908813477s
[2023-05-07 21:19:06,546][root][INFO] - FS-LSTM, run 1/1, train, Epoch 17/100, train RMSE: 0.5494113176004197, duration: 0.07794046401977539s
[2023-05-07 21:19:06,637][root][INFO] - FS-LSTM, run 1/1, train, Epoch 18/100, train RMSE: 0.5417341783217386, duration: 0.08393359184265137s
[2023-05-07 21:19:06,719][root][INFO] - FS-LSTM, run 1/1, train, Epoch 19/100, train RMSE: 0.5350987766498343, duration: 0.07424759864807129s
[2023-05-07 21:19:06,800][root][INFO] - FS-LSTM, run 1/1, train, Epoch 20/100, train RMSE: 0.5293969887670312, duration: 0.07456159591674805s
[2023-05-07 21:19:06,883][root][INFO] - FS-LSTM, run 1/1, train, Epoch 21/100, train RMSE: 0.5245264816246008, duration: 0.07509756088256836s
[2023-05-07 21:19:06,970][root][INFO] - FS-LSTM, run 1/1, train, Epoch 22/100, train RMSE: 0.5203909500202542, duration: 0.07984590530395508s
[2023-05-07 21:19:07,052][root][INFO] - FS-LSTM, run 1/1, train, Epoch 23/100, train RMSE: 0.5169004510546347, duration: 0.07424712181091309s
[2023-05-07 21:19:07,134][root][INFO] - FS-LSTM, run 1/1, train, Epoch 24/100, train RMSE: 0.51397186669626, duration: 0.07374382019042969s
[2023-05-07 21:19:07,216][root][INFO] - FS-LSTM, run 1/1, train, Epoch 25/100, train RMSE: 0.5115290873739916, duration: 0.07442116737365723s
[2023-05-07 21:19:07,297][root][INFO] - FS-LSTM, run 1/1, train, Epoch 26/100, train RMSE: 0.5095031956428457, duration: 0.07373189926147461s
[2023-05-07 21:19:07,379][root][INFO] - FS-LSTM, run 1/1, train, Epoch 27/100, train RMSE: 0.5078323871784612, duration: 0.07489991188049316s
[2023-05-07 21:19:07,474][root][INFO] - FS-LSTM, run 1/1, train, Epoch 28/100, train RMSE: 0.5064617763573446, duration: 0.0867929458618164s
[2023-05-07 21:19:07,555][root][INFO] - FS-LSTM, run 1/1, train, Epoch 29/100, train RMSE: 0.505343139802009, duration: 0.07182884216308594s
[2023-05-07 21:19:07,635][root][INFO] - FS-LSTM, run 1/1, train, Epoch 30/100, train RMSE: 0.504434493302791, duration: 0.07341432571411133s
[2023-05-07 21:19:07,715][root][INFO] - FS-LSTM, run 1/1, train, Epoch 31/100, train RMSE: 0.5036996284744774, duration: 0.07338142395019531s
[2023-05-07 21:19:07,801][root][INFO] - FS-LSTM, run 1/1, train, Epoch 32/100, train RMSE: 0.5031075730982452, duration: 0.07882475852966309s
[2023-05-07 21:19:07,889][root][INFO] - FS-LSTM, run 1/1, train, Epoch 33/100, train RMSE: 0.5026321042887255, duration: 0.07971000671386719s
[2023-05-07 21:19:07,978][root][INFO] - FS-LSTM, run 1/1, train, Epoch 34/100, train RMSE: 0.502251178320166, duration: 0.08074235916137695s
[2023-05-07 21:19:08,071][root][INFO] - FS-LSTM, run 1/1, train, Epoch 35/100, train RMSE: 0.5019464514618993, duration: 0.0860142707824707s
[2023-05-07 21:19:08,159][root][INFO] - FS-LSTM, run 1/1, train, Epoch 36/100, train RMSE: 0.5017027454697679, duration: 0.07728314399719238s
[2023-05-07 21:19:08,250][root][INFO] - FS-LSTM, run 1/1, train, Epoch 37/100, train RMSE: 0.5015076463393793, duration: 0.08498406410217285s
[2023-05-07 21:19:08,339][root][INFO] - FS-LSTM, run 1/1, train, Epoch 38/100, train RMSE: 0.5013510468397516, duration: 0.07960009574890137s
[2023-05-07 21:19:08,425][root][INFO] - FS-LSTM, run 1/1, train, Epoch 39/100, train RMSE: 0.5012247811793188, duration: 0.07832860946655273s
[2023-05-07 21:19:08,507][root][INFO] - FS-LSTM, run 1/1, train, Epoch 40/100, train RMSE: 0.5011223245558891, duration: 0.0743415355682373s
[2023-05-07 21:19:08,587][root][INFO] - FS-LSTM, run 1/1, train, Epoch 41/100, train RMSE: 0.5010384734100802, duration: 0.07354187965393066s
[2023-05-07 21:19:08,668][root][INFO] - FS-LSTM, run 1/1, train, Epoch 42/100, train RMSE: 0.5009691212886778, duration: 0.0735013484954834s
[2023-05-07 21:19:08,750][root][INFO] - FS-LSTM, run 1/1, train, Epoch 43/100, train RMSE: 0.5009110529280317, duration: 0.07405447959899902s
[2023-05-07 21:19:08,840][root][INFO] - FS-LSTM, run 1/1, train, Epoch 44/100, train RMSE: 0.5008617544705258, duration: 0.08336901664733887s
[2023-05-07 21:19:08,927][root][INFO] - FS-LSTM, run 1/1, train, Epoch 45/100, train RMSE: 0.5008192817762137, duration: 0.07749724388122559s
[2023-05-07 21:19:09,023][root][INFO] - FS-LSTM, run 1/1, train, Epoch 46/100, train RMSE: 0.5007821326421241, duration: 0.08864998817443848s
[2023-05-07 21:19:09,107][root][INFO] - FS-LSTM, run 1/1, train, Epoch 47/100, train RMSE: 0.5007491536542416, duration: 0.07498717308044434s
[2023-05-07 21:19:09,190][root][INFO] - FS-LSTM, run 1/1, train, Epoch 48/100, train RMSE: 0.5007194647561001, duration: 0.07673025131225586s
[2023-05-07 21:19:09,271][root][INFO] - FS-LSTM, run 1/1, train, Epoch 49/100, train RMSE: 0.5006924024355132, duration: 0.07406997680664062s
[2023-05-07 21:19:09,357][root][INFO] - FS-LSTM, run 1/1, train, Epoch 50/100, train RMSE: 0.5006674458481212, duration: 0.0788426399230957s
[2023-05-07 21:19:09,446][root][INFO] - FS-LSTM, run 1/1, train, Epoch 51/100, train RMSE: 0.5006442236845039, duration: 0.07808589935302734s
[2023-05-07 21:19:09,526][root][INFO] - FS-LSTM, run 1/1, train, Epoch 52/100, train RMSE: 0.5006224240760124, duration: 0.07357645034790039s
[2023-05-07 21:19:09,608][root][INFO] - FS-LSTM, run 1/1, train, Epoch 53/100, train RMSE: 0.5006018405440238, duration: 0.07409119606018066s
[2023-05-07 21:19:09,694][root][INFO] - FS-LSTM, run 1/1, train, Epoch 54/100, train RMSE: 0.5005822784730658, duration: 0.07732653617858887s
[2023-05-07 21:19:09,775][root][INFO] - FS-LSTM, run 1/1, train, Epoch 55/100, train RMSE: 0.5005636274132068, duration: 0.07429027557373047s
[2023-05-07 21:19:09,855][root][INFO] - FS-LSTM, run 1/1, train, Epoch 56/100, train RMSE: 0.5005457666858546, duration: 0.07333946228027344s
[2023-05-07 21:19:09,936][root][INFO] - FS-LSTM, run 1/1, train, Epoch 57/100, train RMSE: 0.5005286206726091, duration: 0.07375025749206543s
[2023-05-07 21:19:10,016][root][INFO] - FS-LSTM, run 1/1, train, Epoch 58/100, train RMSE: 0.5005121171439136, duration: 0.07226824760437012s
[2023-05-07 21:19:10,107][root][INFO] - FS-LSTM, run 1/1, train, Epoch 59/100, train RMSE: 0.5004962102281878, duration: 0.08218193054199219s
[2023-05-07 21:19:10,215][root][INFO] - FS-LSTM, run 1/1, train, Epoch 60/100, train RMSE: 0.5004808395842663, duration: 0.09908056259155273s
[2023-05-07 21:19:10,304][root][INFO] - FS-LSTM, run 1/1, train, Epoch 61/100, train RMSE: 0.500465978039093, duration: 0.07813477516174316s
[2023-05-07 21:19:10,397][root][INFO] - FS-LSTM, run 1/1, train, Epoch 62/100, train RMSE: 0.500451581400243, duration: 0.08501315116882324s
[2023-05-07 21:19:10,489][root][INFO] - FS-LSTM, run 1/1, train, Epoch 63/100, train RMSE: 0.5004376173793285, duration: 0.08462285995483398s
[2023-05-07 21:19:10,570][root][INFO] - FS-LSTM, run 1/1, train, Epoch 64/100, train RMSE: 0.5004240724001918, duration: 0.07408857345581055s
[2023-05-07 21:19:10,651][root][INFO] - FS-LSTM, run 1/1, train, Epoch 65/100, train RMSE: 0.5004109039570758, duration: 0.07383847236633301s
[2023-05-07 21:19:10,745][root][INFO] - FS-LSTM, run 1/1, train, Epoch 66/100, train RMSE: 0.5003981010190794, duration: 0.0865180492401123s
[2023-05-07 21:19:10,836][root][INFO] - FS-LSTM, run 1/1, train, Epoch 67/100, train RMSE: 0.5003856312823888, duration: 0.08304452896118164s
[2023-05-07 21:19:10,918][root][INFO] - FS-LSTM, run 1/1, train, Epoch 68/100, train RMSE: 0.5003734939210553, duration: 0.0756373405456543s
[2023-05-07 21:19:10,999][root][INFO] - FS-LSTM, run 1/1, train, Epoch 69/100, train RMSE: 0.5003616481170529, duration: 0.07280158996582031s
[2023-05-07 21:19:11,079][root][INFO] - FS-LSTM, run 1/1, train, Epoch 70/100, train RMSE: 0.5003500904874928, duration: 0.07346153259277344s
[2023-05-07 21:19:11,173][root][INFO] - FS-LSTM, run 1/1, train, Epoch 71/100, train RMSE: 0.5003387989284688, duration: 0.08545374870300293s
[2023-05-07 21:19:11,272][root][INFO] - FS-LSTM, run 1/1, train, Epoch 72/100, train RMSE: 0.5003277598430013, duration: 0.09054970741271973s
